"DateTimePST","DateTimeUTC","Stage","WT","YI","VB","WTmn","WTmx","WTvr","TW","LSU","TS_slot","TS_smp_code","TS_thr_code","IBatt","ISolar","Stg_Qual","TBatt","VLoad","VSolar","file_name"
2020-04-01 11:15:00,2020-04-01 19:15:00,0.21,2,-0.6,12.6,1,8,1.4,0.6,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 11:30:00,2020-04-01 19:30:00,0.21,2,-0.6,12.6,1,17,6.8,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 11:45:00,2020-04-01 19:45:00,0.21,3,-0.5,12.6,1,15,4,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 12:00:00,2020-04-01 20:00:00,0.21,2,-0.3,12.6,1,26,12.5,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 12:15:00,2020-04-01 20:15:00,0.21,3,-0.3,12.6,1,26,13.1,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 12:30:00,2020-04-01 20:30:00,0.21,2,-0.1,12.6,1,21,6.3,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 12:45:00,2020-04-01 20:45:00,0.21,2,-0.1,12.6,1,9,2.7,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 13:00:00,2020-04-01 21:00:00,0.21,3,-0.1,12.6,1,13,5.3,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 13:15:00,2020-04-01 21:15:00,0.21,3,0.1,12.6,1,37,24.7,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 13:30:00,2020-04-01 21:30:00,0.21,3,-0.1,12.6,1,16,5.1,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 13:45:00,2020-04-01 21:45:00,0.21,3,0.1,12.6,2,56,57.7,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 14:00:00,2020-04-01 22:00:00,0.22,3,0.1,12.6,2,12,2.5,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
2020-04-01 14:15:00,2020-04-01 22:15:00,0.21,3,0.1,12.6,1,56,34.5,0.7,5,0,0,1,NA,NA,NA,NA,NA,NA,"TRIPPSKNOB_W-2020-5-30-18-17-47.csv"
